rootScript, transitiveSuccessors, treeDepth, treeWidth
tiyfa,1,2,1
wcmga,3,4,1
qnxj,16,10,2
qnxb,3,4,1
tcpb,1,2,1
ywxh,1,2,1
erhba,2,3,1
ywxp,2,3,1
vfhu,2,3,1
vfhp,4,5,1
ywxu,5,3,2
ajgo,2,2,2
gdhj,3,4,1
ywyg,1,2,1
awiza,35,36,1
kwqf,1,2,1
ywwg,49,5,23
ieyn,13,14,1
enpv,1,2,1
qnsu,1,2,1
yvylokrt,6,5,2
rgvynzhv,4,4,2
ayoqkbgm,1,2,1
sctsclue,1,2,1
vfau,5,4,3
yxco,1,2,1
bnxva,12,10,2
ajmm,1,2,1
ajmv,2,3,1
ekjxsfif,1,2,1
ufieqtgy,7,5,4
vkpza,10,7,2
tcxw,1,2,1
kwyz,1,2,1
qnnd,1,2,1
tcxh,6,7,1
yxbe,1,2,1
awiqa,2,3,1
qnmd,56,13,25
